tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,goalsAssistsSum,penaltyGoals,freeKickGoal,scoringFrequency,totalShots,shotsOnTarget,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,yellowCards,redCards,saves,goalsPrevented,minutesPlayed,appearances,league,season,scraped_at
17,76986,Virgil van Dijk,151545,Liverpool FC,44,6,0,7.26,3.77,1.35,6,0,0,570.0,30,14,0,8,2485,89.0,12,137,45.97,2,100.0,22,28,275,327,4,0,0,,3420,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Bart Verbruggen,994363,Brighton & Hove Albion,30,0,0,7.04,,0.11,0,0,0,0.0,0,0,0,0,1178,76.05,1,197,34.99,1,100.0,1,0,32,378,3,0,106,2.03,3420,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Jordan Pickford,138530,Everton,48,0,0,7.01,,0.24,0,0,0,0.0,0,0,1,0,886,61.57,2,362,39.74,0,0.0,2,0,52,562,4,0,100,2.77,3420,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Bernd Leno,103335,Fulham,43,0,0,6.93,,0.04,0,0,0,0.0,0,0,0,0,1078,77.33,0,173,35.6,0,0.0,4,1,45,329,3,0,98,-6.02,3420,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Đorđe Petrović,882604,Bournemouth,60,0,0,6.87,,0.02,0,0,0,0.0,0,0,0,0,580,64.37,0,146,31.6,0,0.0,0,0,62,331,3,0,109,-2.98,3420,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,James Garner,927361,Everton,48,2,7,7.23,2.03,5.95,9,0,0,1707.0,45,14,12,0,1564,87.23,56,60,45.8,18,52.94,120,59,85,479,12,0,0,,3414,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Jarrod Bowen,552884,West Ham United,37,9,11,7.01,7.26,5.24,20,1,0,378.33,79,28,16,5,585,73.77,45,16,35.56,53,44.92,50,27,39,573,5,0,0,,3405,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Adrien Truffert,999028,Bournemouth,60,1,5,6.79,1.36,2.98,6,0,0,3380.0,16,6,4,1,1302,83.46,32,38,31.67,33,45.21,103,48,143,506,5,0,0,,3380,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Nikola Milenković,836168,Nottingham Forest,14,0,0,6.81,0.84,0.72,0,0,0,0.0,16,1,1,2,1333,86.61,3,84,41.38,3,100.0,31,29,218,224,6,0,0,,3375,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
17,76986,Elliot Anderson,994546,Nottingham Forest,14,4,4,7.34,2.9,4.79,8,1,0,833.5,44,10,9,1,2038,85.52,55,119,53.36,50,54.35,104,41,49,656,8,0,0,,3334,38,premier_league,25/26,2026-06-25T08:40:23.198813+00:00
