country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,league,season
England,Premier League,17,76986,Arsenal,42,Viktor Gyökeres,804508,28,187.0,Sweden,F,Right,1909008000.0,61000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Bukayo Saka,934235,24,178.0,England,F,Left,1909008000.0,115000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Kai Havertz,836705,27,193.0,Germany,F,Left,1845936000.0,53000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Gabriel Jesus,794839,29,175.0,Brazil,F,Right,1814313600.0,17600000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Gabriel Martinelli,922573,25,180.0,Brazil,F,Right,1814313600.0,42000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Noni Madueke,966547,24,182.0,England,F,Left,1909008000.0,54000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Leandro Trossard,135666,31,172.0,Belgium,F,Right,1814313600.0,19300000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Martin Ødegaard,547410,27,178.0,Norway,M,Left,1845936000.0,71000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Declan Rice,856714,27,188.0,England,M,Right,1845936000.0,114000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Eberechi Eze,864921,28,178.0,England,M,Right,1877472000.0,69000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Mikel Merino,592010,30,188.0,Spain,M,Left,1845936000.0,26000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Max Dowman,1917626,16,183.0,England,M,Left,,31000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Martín Zubimendi,966837,27,180.0,Spain,M,Right,1909008000.0,77000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Christian Nørgaard,135256,32,185.0,Denmark,M,Right,1814313600.0,4800000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Gabriel Magalhães,869792,28,190.0,Brazil,D,Left,1877472000.0,70000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,William Saliba,941168,25,193.0,France,D,Right,1909008000.0,94000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Piero Hincapié,1002837,24,184.0,Ecuador,D,Left,1782777600.0,46000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Jurriën Timber,958959,25,179.0,Netherlands,D,Right,1845936000.0,73000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Riccardo Calafiori,957602,24,188.0,Italy,D,Left,1877472000.0,53000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Cristhian Mosquera,1144630,22,191.0,Spain,D,Right,1909008000.0,38000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Myles Lewis-Skelly,1423711,19,178.0,England,D,Left,1909008000.0,48000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Ben White,846036,28,186.0,England,D,Right,1845936000.0,27000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,David Raya,581310,30,183.0,Spain,G,Right,1845936000.0,33000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Arsenal,42,Kepa Arrizabalaga,232422,31,188.0,Spain,G,Right,1845936000.0,5300000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Erling Haaland,839956,25,194.0,Norway,F,Left,2035238400.0,218000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Omar Marmoush,873554,27,183.0,Egypt,F,Right,1877472000.0,55000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Phil Foden,859765,26,171.0,England,M,Left,1814313600.0,66000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Antoine Semenyo,934354,26,185.0,Ghana,M,Right,1940544000.0,85000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Rayan Cherki,979128,22,176.0,France,M,Both,1909008000.0,98000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Bernardo Silva,331209,31,173.0,Portugal,M,Left,1782777600.0,21000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Rodri,827606,30,191.0,Spain,M,Right,1814313600.0,45000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Jérémy Doku,934386,24,173.0,Belgium,M,Right,1845936000.0,70000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Savinho,1046795,22,176.0,Brazil,M,Left,1940544000.0,37000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Tijjani Reijnders,893549,27,185.0,Netherlands,M,Right,1909008000.0,48000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Mateo Kovačić,136710,32,178.0,Croatia,M,Right,1814313600.0,9700000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Nico González,954056,24,186.0,Spain,M,Right,1877472000.0,43000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Sverre Nypan,1146511,19,182.0,Norway,M,Both,1909008000.0,11700000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Abdukodir Khusanov,1194333,22,186.0,Uzbekistan,D,Right,1877472000.0,47000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Joško Gvardiol,964994,24,186.0,Croatia,D,Left,1845936000.0,64000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Rayan Aït-Nouri,931278,25,179.0,Algeria,D,Left,1909008000.0,39000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Rúben Dias,318941,29,188.0,Portugal,D,Right,1877472000.0,60000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Nico O'Reilly,1142703,21,193.0,England,D,Left,1909008000.0,76000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Marc Guéhi,877994,25,182.0,England,D,Right,1940544000.0,66000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,John Stones,152077,32,188.0,England,D,Right,1782777600.0,10900000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Matheus Nunes,945122,27,183.0,Portugal,D,Right,1845936000.0,48000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Nathan Aké,149663,31,180.0,Netherlands,D,Left,1814313600.0,10900000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Rico Lewis,1136731,21,170.0,England,D,Right,1909008000.0,26000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Max Alleyne,1168513,20,185.0,England,D,Both,1909008000.0,7800000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Gianluigi Donnarumma,824509,27,196.0,Italy,G,Right,1909008000.0,46000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,James Trafford,980643,23,197.0,England,G,Right,1909008000.0,27000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester City,17,Marcus Bettinelli,257993,34,194.0,England,G,Right,1814313600.0,320000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Bryan Mbeumo,927083,26,173.0,Cameroon,F,Left,1909008000.0,73000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Benjamin Šeško,986397,23,195.0,Slovenia,F,Right,1909008000.0,78000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Matheus Cunha,886363,27,184.0,Brazil,F,Right,1909008000.0,79000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Mason Mount,836694,27,181.0,England,F,Right,1845936000.0,23000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Joshua Zirkzee,917007,25,193.0,Netherlands,F,Right,1877472000.0,21000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Chido Obi-Martin,1566204,18,188.0,Denmark,F,Right,,4600000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Bruno Fernandes,288205,31,179.0,Portugal,M,Right,1814313600.0,32000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Amad Diallo,971037,23,173.0,Côte d'Ivoire,M,Left,1909008000.0,44000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Casemiro,122951,34,185.0,Brazil,M,Right,1782777600.0,5500000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Kobbie Mainoo,1142175,21,184.0,England,M,Right,1940544000.0,72000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Patrick Dorgu,1397168,21,185.0,Denmark,M,Left,1909008000.0,33000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Manuel Ugarte,846425,25,182.0,Uruguay,M,Right,1877472000.0,24000000.0,EUR,premier_league,25/26
England,Premier League,17,76986,Manchester United,35,Noussair Mazraoui,847030,28,183.0,Morocco,D,Right,1845936000.0,17500000.0,EUR,premier_league,25/26
